184
1	13	9.1	0	0	
2	36	25.2	0	0	
3	41	28.7	0	0	
4	32	22.4	0	0	
5	40	28	0	0	
6	83	58.1	0	0	
7	124	79.6	0	0	
8	36	25.2	0	0	
9	41	28.7	0	0	
10	83	58.1	0	0	
11	221	143.3	0	0	
12	213	137.7	0	0	
13	418	265	0	0	
14	418	265	0	0	
15	213	137.7	0	0	
16	213	137.7	0	0	
17	53	37.1	0	0	
18	56	39.2	0	0	
19	32	22.4	0	0	
20	83	58.1	0	0	
21	56	39.2	0	0	
22	40	28	0	0	
23	139	92.5	0	0	
24	36	25.2	0	0	
25	36	25.2	0	0	
26	36	25.2	0	0	
27	41	28.7	0	0	
28	48	33.6	0	0	
29	32	22.4	0	0	
30	36	25.2	0	0	
31	36	25.2	0	0	
32	41	28.7	0	0	
33	53	37.1	0	0	
34	76	53.2	0	0	
35	436	43.6	0	1	
36	322	32.2	0	1	
37	139	92.5	0	0	
38	428	42.8	0	1	
39	322	32.2	0	1	
40	139	92.5	0	0	
41	338	218	0	0	
42	214	136	0	0	
43	338	218	0	0	
44	214	136	0	0	
45	347	223.7	0	0	
46	75	47.1	0	0	
47	347	223.7	0	0	
48	75	47.1	0	0	
49	56	39.2	0	0	
50	83	58.1	0	0	
51	233	23.3	0	1	
52	230	23	0	1	
53	139	92.5	0	0	
54	225	22.5	0	1	
55	230	23	0	1	
56	139	92.5	0	0	
57	48	33.6	0	0	
58	40	28	0	0	
59	83	58.1	0	0	
60	162	107.4	0	0	
61	57	37.5	0	0	
62	28	19.6	0	0	
63	10	7	0	0	
64	129	87.9	0	0	
65	113	74.9	0	0	
66	49	32.5	0	0	
67	57	37.5	0	0	
68	40	28	0	0	
69	83	58.1	0	0	
70	28	19.6	0	0	
71	41	28.7	0	0	
72	101	65.9	0	0	
73	144	94.2	0	0	
74	199	126.7	0	0	
75	75	47.1	0	0	
76	93	60.3	0	0	
77	144	94.2	0	0	
78	199	126.7	0	0	
79	75	47.1	0	0	
80	40	28	0	0	
81	83	58.1	0	0	
82	36	25.2	0	0	
83	8	5.6	0	0	
84	46	32.2	0	0	
85	13	9.1	0	0	
86	22	15.4	0	0	
87	24	16.8	0	0	
88	29	20.3	0	0	
89	8	5.6	0	0	
90	8	5.6	0	0	
91	96	61.8	0	0	
92	65	40.7	0	0	
93	110	70.4	0	0	
94	65	40.7	0	0	
95	96	61.8	0	0	
96	65	40.7	0	0	
97	128	81.8	0	0	
98	65	40.7	0	0	
99	55	38.5	0	0	
100	97	65.5	2	0	
101	16	11.2	2	0	
102	8	5.6	1	0	
103	43	30.1	1	0	
104	14	9.8	0	0	
105	51	35.7	0	0	
106	24	16.8	0	0	
107	14	9.8	0	0	
108	4	2.8	0	0	
109	97	65.5	2	0	
110	16	11.2	2	0	
111	16	11.2	2	0	
112	43	30.1	1	0	
113	29	20.3	0	0	
114	110	70.4	0	0	
115	65	40.7	0	0	
116	96	61.8	0	0	
117	65	40.7	0	0	
118	128	81.8	0	0	
119	65	40.7	0	0	
120	96	61.8	0	0	
121	65	40.7	0	0	
122	55	38.5	0	0	
123	30	21	0	0	
124	16	11.2	0	0	
125	57	39.9	0	0	
126	50	33.8	0	0	
127	45	31.5	0	0	
128	24	16.8	0	0	
129	37	25.9	0	0	
130	89	59.9	0	0	
131	37	25.9	0	0	
132	97	65.5	0	0	
133	84	55.2	0	0	
134	100	66.4	0	0	
135	51	35.7	0	0	
136	30	21	0	0	
137	78	54.6	0	0	
138	45	30.3	0	0	
139	45	31.5	0	0	
140	29	20.3	0	0	
141	96	61.8	0	0	
142	65	40.7	0	0	
143	110	70.4	0	0	
144	65	40.7	0	0	
145	96	61.8	0	0	
146	65	40.7	0	0	
147	128	81.8	0	0	
148	65	40.7	0	0	
149	55	38.5	0	0	
150	97	65.5	2	0	
151	16	11.2	2	0	
152	8	5.6	1	0	
153	49	34.3	1	0	
154	97	65.5	2	0	
155	16	11.2	2	0	
156	8	5.6	1	0	
157	49	34.3	1	0	
158	14	9.8	0	0	
159	4	2.8	0	0	
160	97	65.5	2	0	
161	16	11.2	2	0	
162	16	11.2	2	0	
163	43	30.1	1	0	
164	14	9.8	0	0	
165	4	2.8	0	0	
166	97	65.5	2	0	
167	16	11.2	2	0	
168	16	11.2	2	0	
169	43	30.1	1	0	
170	29	20.3	0	0	
171	110	70.4	0	0	
172	65	40.7	0	0	
173	96	61.8	0	0	
174	65	40.7	0	0	
175	128	81.8	0	0	
176	65	40.7	0	0	
177	96	61.8	0	0	
178	65	40.7	0	0	
179	55	38.5	0	0	
180	30	21	0	0	
181	73	51.1	0	0	
182	50	33.8	0	0	
183	45	31.5	0	0	
184	29	20.3	0	0	
